BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_CAT,UTILIZATION,UTIL_CAT,PAYMENT_EFF,SPENDING_INTENSITY,TOTAL_TRX,LOG_PURCHASES,LOG_CASH_ADVANCE,Cluster
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,Low,0.040900749,Low,1.4362137208278596,2.2768089420072184,2.0,4.5685062016165,0.0,1
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,High,0.4574953451428571,Medium,3.8226766611503953,0.0,4.0,0.0,8.77089628414314,4
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,High,0.33268651493333334,Medium,0.9901031425101177,0.3097451485247197,12.0,6.651791487715673,0.0,1
1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,864.2065423050828,0.0,12.0,High,0.22222273893333333,Low,0.0,0.8988585948171051,2.0,7.313220387090301,5.331694196081131,1
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,Medium,0.6814286125,Medium,2.7598004358471084,0.019542836024728942,1.0,2.833213344056216,0.0,3
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,High,1.0054604172222221,Very High,0.5813599398285731,0.7362816606836612,8.0,7.1961470995031585,0.0,3
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,Medium,0.046463763407407405,Low,31.920658030953312,11.286729861674676,64.0,8.866724077232586,0.0,0
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,High,0.7928924969565218,High,1.2739620638451217,0.23905918628813855,12.0,6.080390756302384,0.0,3
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,Medium,0.14498949614285714,Low,2.1992301598427435,0.8479845962238254,5.0,6.759823554635403,0.0,1
152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,Low,0.013838725,Low,11.497972187432497,8.364117115260646,3.0,7.156644546714762,0.0,1
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,Medium,1.0776041158333334,Very High,0.4983678156378838,0.7109978119353745,12.0,6.8255903209275,0.0,3
630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,Medium,0.315397372,Medium,4.507331991862563,2.3618113543534007,6.0,7.308663352897687,0.0,1
1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12.0,High,0.5056428733333334,Medium,1.2383041628112912,2.11998769744522,26.0,8.076822924739153,0.0,1
921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,Medium,0.12289244919999999,Low,6.56740168853415,2.3170536083044073,26.0,7.668060982974215,0.0,1
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,High,0.9242575780000001,High,0.8129951198393341,0.0,1.0,0.0,5.851660350090109,3
6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,2109.90649,0.0,12.0,High,0.860776653875,High,0.9443522422445155,0.23401337318054646,15.0,7.38566507198647,7.741746975288393,4
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,8.0,High,0.6906914513333333,Medium,1.0381242255093999,0.0,3.0,0.0,7.932101784121888,3
41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.203221,0.25,12.0,Low,0.0164357956,Low,3.4309920589565785,12.330869590742715,8.0,6.253828811575473,0.0,1
1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,12.0,High,0.153005556,Low,2.3079485756824423,0.2534330125830991,9.0,6.225251258520672,0.0,1
3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.980464,12465.54938,0.0,12.0,High,0.89449273325,High,0.08454468288481604,0.11138397250570796,12.0,5.990564141864818,0.0,3
2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,13557.29726,0.0,12.0,High,1.008342343,Very High,0.016452552685808277,0.08756571392245775,8.0,5.179984179586172,0.0,3
6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.959051,1659.775075,0.0,12.0,High,0.5661805616000001,Medium,1.2511983605004426,0.9983390211158522,98.0,8.757933016248602,5.438202105731185,0
132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1800.0,2359.629958,86.329554,0.0,12.0,Low,0.07352346666666666,Low,27.0198329193345,6.1188412614037375,17.0,6.705516688347823,0.0,1
3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13.0,13.0,9000.0,9479.043842,1425.426525,0.0,12.0,High,0.4222390418888889,Medium,6.645308171060545,1.117648201464932,26.0,8.354521309045298,8.984119042407901,4
5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.726707,1657.002877,0.0,11.0,High,0.8947618698333334,High,0.8580966455102238,0.0,4.0,0.0,6.684549054454003,3
169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3000.0,215.306142,163.005536,0.0,12.0,Low,0.056593893,Low,1.312798014330443,2.3398294380277176,12.0,5.992963423231718,0.0,1
1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0,890.178845,971.183209,0.0,12.0,High,0.9505689647058824,High,0.9156492693549493,0.06308105537128879,7.0,4.634728988229636,5.504682890648139,3
125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,207.773715,164.748819,0.0,12.0,Low,0.12569481700000001,Low,1.2535456738307138,1.8412750065379548,12.0,5.456516981221582,0.0,1
7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.448347,1648.851345,0.0,12.0,High,0.6812251782857143,Medium,0.9706622065395837,0.054103625659287245,24.0,5.961134197300148,7.7129558941159795,4
22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.767773,159.684442,0.0,12.0,Low,0.0031976072463768116,Low,1.0005186003010798,4.33585723583031,5.0,4.61512051684126,0.0,1
12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10.0,64.0,13000.0,4230.323491,3292.01503,0.0,12.0,High,0.9335553815384615,High,1.2846353425237782,0.2503052601841452,74.0,8.019287083467484,8.066076727735902,4
1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2.0,45.0,6000.0,645.998299,256.848991,0.0,12.0,Medium,0.19371222066666666,Low,2.5053357645289367,1.1585497339230655,47.0,7.206903859042666,5.175108258224256,1
