,id_komentar,nama_akun,tanggal,text_cleaning,text_cleaning_cleaned,sentimen,text_cleaning_initial
0,Ugzbll5eyrIy3-gdUUJ4AaABAg,Sqn Ldr,2023-08-06 12:54:49+00:00,saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,saran bikin harga ionic brio laris manis,positif,saran sih bikin   harga ionic sama kayak brio insya allah laris manis
1,UgzEDUiV3OTrV943p8p4AaABAg,lushen ace,2023-08-04 12:16:23+00:00,problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,problem subsidi kualitas diturunin harga naik usaha cari cuan subsidi inflasi gede,negatif,problem subsidi kualitas diturunin harga dinaiki usaha begitu cari cuan subsidi sebab inflasi paling gede
2,UgwqJqu6JMF4EH2CsVV4AaABAg,Fatih Al-Ayyubi,2023-08-04 10:17:57+00:00,baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,kualitas kembang kualitas motor motor pabrikan jepang,positif,baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang
3,UgyYicCMR1rKwuOj2Y14AaABAg,yp office,2023-08-04 08:29:54+00:00,model jelek kwalitas buruk harga mahal croot,model jelek kualitas buruk harga mahal crot,negatif,model jelek kualitas buruk harga mahal crot
4,UgxKAcLuAwZOQK6es-x4AaABAg,Lembur Kuring,2023-08-04 07:55:37+00:00,syarat   ngaco woy anak muda   blom punya rumah blom jd umkm bukan serta kur   dapet ngaco sia deui sia deui nu narima subsidi teh ari aing iraha,syarat kacau anak muda rumah usaha mikro tengah kur kacau nu narima subsidi,negatif,syarat   kacau oi anak muda   belum punya rumah belum jadi usaha mikro kecil dan menengah bukan serta kur   dapat kacau kamu lagi kamu lagi nu narima subsidi teh ari aku iraha
5,Ugx-zVY4ktd7JNUB6xV4AaABAg,Syarif Airlangga,2023-08-04 06:58:17+00:00,harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,harga motor mahal harga motor beat kualitas langit bumi,positif,harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi
6,Ugzu5Wkjya394dPHoq14AaABAg,BajuMax,2023-08-04 06:31:56+00:00,mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,mol keren berita plus mol lokal merek batrenya juta garansi anggap baterai awet rakyat indonesia juta beli baterai o saran uang subsidi baterai perintah pertamina kelola contoh gas kg gas kg gas kg produk baterai v baterai v baterai v pergi bayar pasang gas pom sistem swap baterai titik swap point indonesia luas,negatif,mol keren ya   berita   plus padahal mol lokal merek   batrenya juta garansi tahun anggap baterai awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli baterai baru   o   saran uang subsidi keluar buat baterai perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal baterai v baterai v baterai v pergi bayar pasang gas pnp pom sistem swap baterai banyak titik swap point indonesia luas
7,Ugyy3luBOOHQspWyBiR4AaABAg,Putut Parwoto,2023-08-04 01:04:18+00:00,proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,proses kenal produk butuh ganti kendara bahan bakar minyak kendara butuh tehnologi sabar,negatif,proses kenal produk baru butuh waktu ganti kendara bahan bakar minyak jadi kendara butuh waktu tehnologi baru sabar
8,Ugw-fxD-u_9LFxhiRTp4AaABAg,Heru Prasetyo,2023-08-03 23:56:55+00:00,subsidi   tepat sasar,subsidi sasar,netral,subsidi   tepat sasar
9,Ugx2k37YO1fch9eEM4d4AaABAg,jonan kick ass hole,2023-08-03 11:25:57+00:00,adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dl   ikut partisipasi investasi ekosistem motor,adil terima subsidi pajak pph subsidi perintah khianat pancasila sila adil rakyat indonesia bagus united state of america subsidi untung subsidi alih kendara bahan bakar minyak cepat efek konsumsi subsidi bahan bakar minyak polusi tingkat minat swasta partisipasi investasi ekosistem motor,negatif,adil rata terima subsidi jangan jangan pajak pph masih subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   memang   mau rata bagus   united state of america subsidi sama sekali untung subsidi rata umum alih kendara bahan bakar minyak  lebih  cepat efek apa kurang konsumsi subsidi bahan bakar minyak kurang polusi tingkat minat pihak swasta dulu   ikut partisipasi investasi ekosistem motor
10,UgzBFjd8vzYUd7E2bGN4AaABAg,Rendy Ramadhan,2023-08-03 07:20:29+00:00,  tepat sasar donk syarat belum tepat subsidi kurang besar jd warga kurang mampu pikir beli anda subsidi jt mungkin warga kurang mampu lebih berani beli,sasar syarat subsidi warga pikir beli subsidi juta warga berani beli,negatif,  tepat sasar dong syarat belum tepat subsidi kurang besar jadi warga kurang mampu pikir beli anda subsidi juta mungkin warga kurang mampu lebih berani beli
11,Ugw_wdGd4wtfM4N--ox4AaABAg,kohar arief,2023-08-03 05:08:13+00:00,mungkin subsidi baik arah   seragam sekolah bila lama guna seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kpd saudara   bangsa n tanah air   terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,subsidi arah seragam sekolah seragam sekolah hapus negara ri subsidi seragam sekolah minimal marah jengkel saudara bangsa tanah air rusak bangsa negara ri laku korupsi af salah,negatif,mungkin subsidi baik arah   seragam sekolah bila lama guna seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kepada saudara   bangsa dan tanah air   terus terus rusak bangsa dan negara ri dengan laku korupsi macam terus terus sama af jika salah
12,UgzZY-ZoTvfiVoOv8Dt4AaABAg,gema,2023-08-03 04:23:25+00:00,kampung   sekarang banyak banget bocil sama cewek   pake motor,kampung bocah cilik cewek pakai motor,positif,kampung   sekarang banyak banget bocah cilik sama cewek   pakai motor
13,Ugxhg359PbSx8yP5yM94AaABAg,F,2023-08-01 12:39:56+00:00,banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan   bahaya,kenderaan tiongkok rekam bakar letup amerika ranah baterai kenderaan bahaya,negatif,banyak kenderaan buat tiongkok rekam bakar letup amerika ranah masalah baterai kenderaan   bahaya
14,UgwzritHDvD9naYvia54AaABAg,Khoirudin 22,2023-07-29 11:08:07+00:00,harga terlalu mahal,harga mahal,positif,harga terlalu mahal
15,UgytpyW7Exm1024zy0V4AaABAg,pemburu dolar,2023-07-29 08:54:25+00:00,tahan th  ,tahan,negatif,tahan tahun  
16,UgxjV2FjkUFE23JpaCd4AaABAg,Aris Ris,2023-07-28 23:58:30+00:00,iklan kudu kencang,iklan kencang,netral,iklan harus kencang
17,UgwnjCqoykOu2Ill4QV4AaABAg,Rudyy Kip,2023-07-28 16:03:23+00:00,kendaran plg rawan bakar   mudah padam,kendaran pulang rawan bakar mudah padam,negatif,kendaran pulang rawan bakar   mudah padam
18,Ugy8ZZIStkA_V9-4w7V4AaABAg,denis sined,2023-07-28 14:55:46+00:00,  buat hari   sih sangat guna     jalan jauh   sih mikir   pake charging station     keluar kota saudara   kota buat charge   banyak stasiun chrargenya jg   kaya bensin tinggal isi beberapa menit langsung jalan   butuh waktu     sebentar   kritis  banget    mungkin nyolokin minimarket or rumah  orang ,jalan pikir pakai charging station kota saudara kota charge stasiun chrargenya bensin tinggal isi menit langsung jalan butuh sebentar kritis nyolokin minimarket orang rumah orang,negatif,  buat hari   sih sangat guna     jalan jauh   sih pikir   pakai charging station     keluar kota saudara   kota buat charge   banyak stasiun chrargenya juga   kayak bensin tinggal isi beberapa menit langsung jalan   butuh waktu     sebentar   kritis  banget    mungkin nyolokin minimarket orang rumah  orang 
19,UgxGrdA8dD3FNULB4Rd4AaABAg,Lukman Effendi,2023-07-28 10:23:53+00:00,bapak luhut panjaitan yth baik pakai dulu dinas masyarakat lihat hasil jangan dijejeli subsidi laku pakai logika maaf masyarakat beli terimakasih,luhut panjaitan hormat pakai dinas masyarakat lihat hasil dijejeli subsidi laku pakai logika maaf masyarakat beli terima kasih,positif,bapak luhut panjaitan yang terhormat baik pakai dulu dinas masyarakat lihat hasil jangan dijejeli subsidi laku pakai logika maaf masyarakat beli terima kasih
20,Ugw_osI9is5z9jHD9454AaABAg,Ricky Thunger,2023-07-27 09:20:51+00:00,subsidi motor   jalan umum tolak system,subsidi motor jalan tolak sistem,negatif,subsidi motor   jalan umum tolak sistem
